ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.080794506,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,0
3.716080075,129.4229205,18630.05786,6.635245884,,592.8853591,15.18001312,56.32907628,4.500656267,0
8.099124189,224.2362594,19909.54173,9.275883603,,-400.0,16.86863693,66.42009251,3.05593375,0
8.316765844,214.3733943,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,17978.98634,6.546599974,310.135738,398.4108133,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,28748.68774,7.544868789,326.6783631,280.4679159,8.399734639,54.91786221,2.55970823,0
10.22386216,248.071735,28749.71654,7.513408466,393.6633956,283.6516336,13.78969858,84.60355617,2.672989182,0
8.635848719,203.3615226,13672.09176,4.563009249,303.3097712,474.6076449,12.36381665,62.79840909,4.401425026,0
,-100.0,14285.58385,7.09848074,383.0504157,485.4988079,15.13840243,76.54300301,3.468202956,0
6.702288591,215.1353255,20025.26629,7.11475141,311.7588383,576.2418522,14.65345719,34.82181755,3.614660312,0
4.214954497,204.8143224,31604.65089,7.409395982,324.9669641,328.7512806,12.87913385,63.15392652,3.310156961,0
7.854118021,241.9813556,17465.73016,7.581896171,320.1582381,473.0459765,14.49833728,65.04543169,4.075721111,1
6.765965411,202.9360812,22964.89661,7.24121544,383.7431713,478.4452079,13.56066278,65.65651543,4.041697241,1
7.124562811,192.5186104,18392.20302,8.406972741,387.625624,364.5029329,14.97816828,72.48280036,3.642137021,1
6.800119106,242.0080816,39143.40332,9.501694723,312.9310216,508.7694158,15.87005018,87.32977372,4.854443912,1
7.174134885,212.7533845,21808.61864,6.721470557,329.8055278,529.0833215,10.6384214,64.2120392,3.876356781,1
8.23207038,187.3275726,21182.20986,7.469792629,380.0888204,411.0850257,13.11181827,81.71618397,3.637775953,1
7.798485293,179.9142718,17290.31608,6.866164228,318.5283457,419.6756811,12.87103138,59.34969248,3.957640821,1
6.223847291,223.1098671,24734.61825,7.279768652,360.7719602,442.2783776,14.59560384,68.49007421,3.486259021,1
8.544740751,207.2407548,19864.71714,7.848833924,352.0298412,437.9542031,13.7845214,70.52841029,3.928172951,1
