timestamp,location,ph,tds,turbidity,water_temperature,weather_temperature,precipitation,humidity,feverCount,diarrheaCount,vomitingCount,abdominalPainCount
2025-01-01,Zone_A,7.18,252.1,3.42,21.8,23.8,0.0,54.2,2,3,2,3
2025-01-02,Zone_A,7.21,248.9,2.89,22.1,24.1,0.0,52.8,1,2,1,2
2025-01-03,Zone_A,6.95,389.4,8.74,22.5,24.5,12.4,73.6,4,7,5,6
2025-01-04,Zone_A,6.88,412.3,10.15,22.0,24.0,15.8,78.2,5,9,6,8
2025-01-05,Zone_A,7.02,320.1,5.63,22.4,24.4,2.1,61.5,3,5,3,4
2025-01-06,Zone_A,7.15,265.4,3.12,22.7,24.7,0.0,56.1,2,2,1,2
2025-01-07,Zone_A,7.22,251.0,2.45,23.1,25.1,0.0,53.4,1,1,1,2
2025-01-08,Zone_A,7.19,258.7,2.9,23.0,25.0,0.0,54.9,2,3,2,2
2025-01-09,Zone_A,6.72,512.6,14.8,23.5,25.5,24.6,89.1,6,12,8,11
2025-01-10,Zone_A,6.8,480.2,12.1,23.2,25.2,18.2,82.4,5,10,7,9
2025-01-11,Zone_A,7.05,335.8,5.9,23.6,25.6,0.0,60.2,3,4,3,4
2025-01-12,Zone_A,7.24,260.1,2.8,24.0,26.0,0.0,55.0,1,2,1,1
2025-01-13,Zone_A,7.18,255.4,3.1,24.2,26.2,0.0,53.8,2,2,2,2
2025-01-14,Zone_A,7.2,249.8,2.75,24.5,26.5,0.0,52.1,1,1,1,2
2025-01-15,Zone_A,6.91,395.2,9.3,24.1,26.1,10.5,71.0,3,6,4,6
2025-01-16,Zone_A,7.09,298.6,4.5,24.8,26.8,0.0,58.4,2,3,2,3
2025-01-17,Zone_A,7.25,250.3,2.6,25.0,27.0,0.0,51.9,1,2,1,1
2025-01-18,Zone_A,7.22,254.1,2.85,25.3,27.3,0.0,53.2,2,2,1,2
2025-01-19,Zone_A,7.15,262.0,3.4,25.6,27.6,0.0,55.1,1,3,2,2
2025-01-20,Zone_A,6.65,580.4,18.2,25.1,27.1,31.4,94.5,7,15,10,14
2025-01-21,Zone_A,6.78,495.1,13.4,25.4,27.4,14.2,84.0,5,11,8,10
2025-01-22,Zone_A,7.01,340.2,6.1,25.8,27.8,0.0,63.1,3,5,3,4
2025-01-23,Zone_A,7.2,268.5,3.2,26.1,28.1,0.0,56.7,2,2,2,2
2025-01-24,Zone_A,7.23,252.0,2.9,26.4,28.4,0.0,54.3,1,2,1,1
2025-01-25,Zone_A,7.19,259.3,3.05,26.7,28.7,0.0,53.9,2,3,2,2
2025-01-26,Zone_A,6.98,360.8,7.8,26.2,28.2,8.4,68.2,3,6,4,5
2025-01-27,Zone_A,7.12,285.4,4.1,26.9,28.9,0.0,57.5,2,3,2,3
2025-01-28,Zone_A,7.24,251.6,2.7,27.2,29.2,0.0,52.4,1,2,1,2
2025-01-29,Zone_A,7.21,256.8,2.95,27.5,29.5,0.0,53.1,1,1,1,1
2025-01-30,Zone_A,7.17,264.2,3.3,27.8,29.8,0.0,54.8,2,2,2,2
2025-01-31,Zone_A,6.7,540.1,16.5,27.3,29.3,28.0,91.2,6,14,9,12
2025-02-01,Zone_A,6.85,460.9,11.2,27.6,29.6,12.1,81.0,4,9,6,8
2025-02-02,Zone_A,7.08,310.5,5.2,28.1,30.1,0.0,61.4,2,4,3,3
2025-02-03,Zone_A,7.22,258.4,2.8,28.4,30.4,0.0,55.2,1,2,1,2
2025-02-04,Zone_A,7.25,249.7,2.5,28.8,30.8,0.0,51.8,1,1,1,1
2025-02-05,Zone_A,7.18,263.1,3.15,29.1,31.1,0.0,53.9,2,3,2,2
2025-02-06,Zone_A,6.92,380.0,8.6,28.6,30.6,9.8,70.5,3,7,5,6
2025-02-07,Zone_A,7.1,290.2,4.3,29.3,31.3,0.0,58.0,2,3,2,3
2025-02-08,Zone_A,7.23,253.9,2.75,29.6,31.6,0.0,52.7,1,2,1,2
2025-02-09,Zone_A,7.2,257.5,2.9,30.0,32.0,0.0,53.5,1,2,1,1
2025-02-10,Zone_A,7.16,266.3,3.45,30.2,32.2,0.0,55.4,2,3,2,2
2025-02-11,Zone_A,6.6,610.2,19.4,29.7,31.7,35.2,96.0,8,16,11,15
2025-02-12,Zone_A,6.75,510.8,14.1,30.1,32.1,16.5,85.2,5,12,8,10
2025-02-13,Zone_A,7.03,330.4,5.8,30.5,32.5,0.0,62.8,3,5,3,4
2025-02-14,Zone_A,7.21,262.1,3.0,30.9,32.9,0.0,56.0,1,2,1,2
2025-02-15,Zone_A,7.26,248.3,2.4,31.2,33.2,0.0,51.2,1,1,1,1
2025-02-16,Zone_A,7.19,258.0,2.95,31.5,33.5,0.0,53.1,2,2,2,2
2025-02-17,Zone_A,6.96,370.5,8.1,31.0,33.0,7.9,67.4,3,6,4,5
